Station:CCNY -,,,,
Date,Time,O3,PM25C,CO
,,ppm,ug/m3LC,ppb
12/30/17,12:00 AM,0.008,14.1,0.29
12/31/17,12:00 AM,0.026,9.7,0.21
Minimum,,0.002,1.5,0.12
MinDate,,17-Jan,6-Jun,30-Jul
MinTime,,12:00,12:00,12:00
Maximum,,0.056,26,0.78
MaxDate,,12-Jun,2-Aug,23-Feb
MaxTime,,12:00,12:00,12:00
Avg,,0.023,7.7,0.22
Num,,352,350,355
Data[%],,96,95,97
STD,,0,3.5,0
